,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,best_step
1046,h,c,2,h,4,5,6,h,c,[6]
1047,h,h,c,3,h,c,h,c,8,[8]
1048,0,h,c,h,4,5,6,7,8,[8]
1049,0,c,h,3,h,5,6,7,8,[6]
1050,c,h,2,h,c,c,6,7,h,"[2, 6, 7]"
1051,h,c,c,h,h,5,c,7,8,"[5, 7, 8]"
1052,c,h,2,c,h,h,6,7,c,[6]
1053,c,c,h,h,c,5,c,h,h,[5]
1054,h,1,2,3,4,h,c,c,8,[8]
1055,0,1,2,c,h,5,6,h,8,[1]
1056,h,1,2,3,4,5,6,7,8,[4]
1057,c,1,2,h,c,h,6,7,8,[8]
1058,c,1,2,c,h,5,h,7,h,"[1, 2, 5, 7]"
1059,c,c,h,c,h,5,6,h,8,[6]
1060,h,c,h,3,4,h,h,c,c,[4]
1061,0,c,c,3,h,5,h,7,8,[0]
1062,0,1,2,3,4,c,h,h,8,[8]
1063,0,h,c,h,4,h,c,7,8,[4]
1064,c,1,h,h,4,5,c,7,8,[8]
1065,h,c,2,c,c,h,h,7,8,[7]
1066,0,h,2,3,4,c,6,7,8,"[2, 4]"
1067,0,c,c,c,h,h,h,c,h,[0]
1068,h,h,2,h,c,c,6,7,c,[2]
1069,0,1,c,h,h,5,c,7,8,[5]
1070,h,1,c,3,h,h,h,c,c,[3]
1071,h,c,2,h,h,5,6,7,c,"[2, 5, 6, 7]"
1072,0,h,2,3,h,c,c,c,h,[0]
1073,0,c,h,h,4,h,6,c,8,[4]
1074,h,c,2,3,h,5,6,7,8,[8]
1075,c,1,h,3,h,c,c,h,8,[3]
1076,0,h,2,3,h,h,c,7,c,[7]
1077,0,h,c,3,4,h,h,c,c,"[0, 3, 4]"
1078,0,1,c,3,4,5,h,h,c,[5]
1079,0,1,2,3,4,h,c,c,h,[2]
1080,c,1,c,h,4,5,h,h,8,[1]
1081,c,c,2,h,4,h,h,c,h,"[2, 4]"
1082,h,h,2,c,c,5,6,h,8,[5]
1083,h,1,c,c,h,h,c,h,c,[1]
1084,0,1,2,3,h,5,c,h,8,[1]
1085,c,h,c,3,4,5,h,h,c,"[4, 5]"
1086,h,c,2,c,h,h,6,c,8,[8]
1087,h,h,c,3,h,h,c,7,c,[7]
1088,0,1,2,h,h,5,c,c,8,[8]
1089,h,1,h,h,c,c,c,c,h,[1]
1090,0,1,h,3,4,5,c,7,8,"[0, 8]"
1091,0,1,h,c,c,h,6,7,8,[8]
1092,0,1,h,h,c,5,c,c,h,[1]
1093,c,h,h,3,4,c,h,c,8,[4]
1094,c,h,c,3,c,5,6,h,h,[6]
1095,0,1,c,h,4,h,c,h,c,[4]
1096,0,h,2,c,4,h,c,h,8,[0]
1097,0,1,2,3,c,h,6,7,h,[2]
1098,h,1,h,3,4,h,c,c,8,[8]
1099,0,h,c,h,4,h,h,c,c,"[0, 4]"
1100,0,h,c,c,h,5,h,7,c,[5]
1101,h,c,h,h,h,c,c,7,8,[8]
1102,0,h,c,h,h,5,6,7,c,[5]
1103,h,1,2,h,h,5,c,7,c,[7]
1104,h,1,h,3,c,5,6,7,8,[1]
1105,0,c,h,c,h,5,6,h,c,[6]
1106,0,h,c,3,4,h,6,7,8,"[3, 4, 7]"
1107,c,1,2,h,h,5,6,7,c,[5]
1108,c,h,2,3,c,5,h,7,8,[8]
1109,h,c,h,c,c,5,c,h,h,[5]
1110,c,1,2,3,4,5,h,7,h,[7]
1111,0,h,c,h,4,5,c,7,h,[4]
1112,c,h,2,c,h,5,6,7,h,[6]
1113,c,1,2,h,4,5,c,7,h,[2]
1114,0,1,h,3,4,5,6,c,8,[8]
1115,h,h,c,h,c,c,6,7,h,[6]
1116,h,1,2,3,4,h,6,7,c,"[3, 4, 6]"
1117,0,1,2,3,h,c,h,c,8,[2]
1118,0,c,h,3,4,5,6,7,8,"[4, 5, 6, 8]"
1119,0,1,h,3,c,5,6,7,h,[5]
1120,0,h,c,h,4,c,6,7,h,"[0, 4, 6, 7]"
1121,0,1,h,c,h,c,c,h,8,[0]
1122,c,c,2,h,4,5,c,h,h,[2]
1123,h,1,2,c,c,5,h,h,c,[5]
1124,0,h,c,c,h,5,6,7,8,[7]
1125,h,h,c,3,h,5,h,c,c,[5]
1126,h,h,2,h,c,c,c,c,h,[2]
1127,h,c,h,3,h,c,6,7,8,"[3, 6, 7, 8]"
1128,c,c,h,h,h,c,6,h,c,[6]
1129,c,1,h,3,c,5,6,7,h,[5]
1130,0,c,2,h,h,5,h,7,c,"[0, 2, 5, 7]"
1131,0,h,2,h,c,5,h,7,c,[0]
1132,0,h,2,3,4,5,6,c,8,"[0, 2, 3, 4, 5, 6, 8]"
1133,0,1,2,3,h,h,c,h,c,"[0, 1, 2, 3]"
1134,c,h,2,3,h,5,6,7,8,[7]
1135,h,1,2,h,h,c,6,c,8,"[1, 2, 6, 8]"
1136,0,1,2,h,h,5,6,c,8,[5]
1137,c,c,2,c,h,h,h,c,h,[2]
1138,0,h,2,3,4,5,6,7,c,"[2, 4, 6]"
1139,h,1,h,c,4,h,6,c,c,[6]
1140,0,h,h,c,4,c,h,h,c,[4]
1141,h,1,h,c,h,c,c,7,8,"[1, 7, 8]"
1142,0,c,2,h,4,5,6,7,h,[4]
1143,h,c,2,c,4,h,h,h,c,"[2, 4]"
1144,h,h,2,c,c,5,6,c,h,[5]
1145,c,h,2,c,4,5,h,7,8,[4]
1146,h,h,c,3,4,5,c,h,8,[4]
1147,h,h,2,c,4,5,h,c,8,[2]
1148,0,1,c,h,c,5,h,c,h,[1]
1149,0,1,h,c,4,c,h,h,8,[4]
1150,h,1,h,c,4,c,6,h,c,[4]
1151,0,h,h,c,4,c,6,7,h,[4]
1152,h,1,h,3,c,5,c,7,h,"[1, 3, 5, 7]"
1153,c,1,2,3,h,h,h,7,c,"[1, 2, 3, 7]"
1154,c,c,h,h,4,5,6,c,h,[4]
1155,0,1,2,3,4,h,6,7,8,"[2, 3, 4, 8]"
1156,h,c,h,h,4,5,c,c,8,"[4, 8]"
1157,0,1,h,3,h,5,c,h,c,[1]
1158,h,1,c,c,4,h,c,7,h,[4]
1159,c,h,2,c,h,h,6,c,h,[6]
1160,h,1,2,3,c,h,6,h,c,"[1, 2, 3, 6]"
1161,0,h,2,3,h,5,6,c,8,"[0, 2, 6, 8]"
1162,h,c,h,c,c,h,6,7,8,[7]
1163,c,h,h,3,h,5,6,c,c,[6]
1164,0,1,h,h,c,5,6,7,8,"[0, 1, 6, 7]"
1165,h,h,c,h,4,h,6,c,c,[6]
1166,c,1,h,3,4,h,6,7,8,[8]
1167,0,h,2,h,c,h,c,h,c,"[0, 2]"
1168,0,c,2,c,c,h,h,7,h,[7]
1169,h,h,c,3,4,h,c,7,c,"[4, 7]"
1170,c,1,2,h,c,h,6,7,h,[2]
1171,0,c,c,h,c,h,h,h,8,[0]
1172,0,1,h,3,4,c,h,c,8,[4]
1173,h,1,2,3,4,c,h,7,8,[3]
1174,h,h,2,3,4,c,6,7,8,[2]
1175,h,h,c,c,4,h,h,7,c,"[4, 7]"
1176,0,c,h,3,4,5,h,c,8,[4]
1177,0,1,h,3,c,5,h,c,h,[1]
1178,0,h,h,h,c,5,h,c,c,[0]
1179,0,1,h,3,4,c,h,7,c,[4]
1180,h,1,c,h,c,5,6,7,h,[6]
1181,h,1,2,h,c,5,6,h,c,[6]
1182,c,h,2,h,4,5,h,c,8,"[2, 4, 5]"
1183,0,h,h,3,4,5,6,c,8,[0]
1184,c,1,h,3,h,c,c,h,h,[3]
1185,0,c,c,3,4,5,6,h,h,[0]
1186,c,1,2,c,4,h,h,c,h,[2]
1187,c,h,h,3,c,5,h,c,h,[5]
1188,c,h,h,h,4,5,h,c,c,[4]
1189,c,h,2,h,4,5,h,7,c,[4]
1190,h,1,c,3,4,h,6,7,c,[6]
1191,0,1,h,c,4,5,h,7,8,[4]
1192,0,h,h,3,4,5,6,7,c,[0]
1193,c,h,h,3,4,h,6,c,8,[8]
1194,0,1,2,3,4,5,6,h,8,"[1, 4, 6, 8]"
1195,c,1,2,3,h,c,6,h,8,[1]
1196,0,h,c,c,4,5,6,h,8,[4]
1197,0,1,c,3,4,h,h,7,8,"[0, 3, 4]"
1198,0,1,2,h,4,c,6,7,8,"[0, 1, 2, 4, 6, 7, 8]"
1199,0,1,h,c,c,5,h,c,h,"[1, 5]"
1200,h,c,2,3,4,h,6,7,c,[7]
1201,h,1,2,3,4,5,c,7,8,"[2, 7, 8]"
1202,0,c,h,3,4,h,c,7,8,[8]
1203,0,c,h,h,h,c,c,7,8,"[0, 7, 8]"
1204,h,1,c,c,4,5,h,c,h,[4]
1205,c,1,h,3,4,h,h,c,8,"[1, 3, 4, 8]"
1206,0,h,2,3,4,h,c,7,c,[7]
1207,0,h,2,3,h,c,6,7,c,[2]
1208,0,1,c,h,h,5,6,c,h,"[0, 1, 5, 6]"
1209,0,h,2,c,4,c,h,7,8,[4]
1210,h,c,2,3,4,c,6,h,8,"[3, 4, 6, 8]"
1211,0,1,h,c,4,5,6,h,8,[4]
1212,c,c,2,3,h,h,6,7,8,[2]
1213,h,1,2,3,c,5,6,h,8,"[3, 5, 6, 8]"
1214,c,1,h,3,4,h,h,7,c,[4]
1215,c,1,2,h,h,c,6,h,8,[1]
1216,0,1,2,3,4,h,h,c,8,[4]
1217,c,1,2,3,4,5,h,h,8,[8]
1218,0,h,h,3,4,c,c,h,c,"[0, 3, 4]"
1219,0,1,h,3,c,c,h,h,c,"[0, 3]"
1220,h,h,2,h,c,5,6,c,8,"[2, 5, 6, 8]"
1221,0,1,2,3,4,5,c,7,h,"[0, 2, 3]"
1222,c,1,h,c,c,5,6,h,h,"[5, 6]"
1223,0,1,h,3,4,5,6,c,h,[5]
1224,c,c,h,h,4,h,6,h,c,[4]
1225,0,c,h,h,4,5,6,c,h,[4]
1226,h,c,2,c,4,h,6,7,h,"[2, 4, 6, 7]"
1227,0,h,c,c,c,5,h,7,h,[5]
1228,0,1,2,3,h,c,h,c,h,"[0, 1, 2, 3]"
1229,c,1,h,3,h,5,6,c,8,[6]
1230,0,c,2,3,4,5,6,h,8,"[0, 2, 3, 4, 5, 6, 8]"
1231,c,1,c,h,h,5,h,7,c,"[1, 5]"
1232,0,c,h,3,4,5,6,7,h,[5]
1233,c,h,h,3,h,c,6,7,8,"[3, 6, 7, 8]"
1234,h,h,2,3,h,c,c,7,8,"[2, 3, 7, 8]"
1235,h,1,2,3,4,5,6,c,8,[6]
1236,0,1,2,3,h,5,6,h,c,[1]
1237,0,c,2,h,4,c,h,c,h,[4]
1238,c,c,h,3,4,5,h,c,h,[4]
1239,0,1,2,h,4,5,6,7,c,"[2, 4, 6]"
1240,0,h,c,h,4,h,c,c,8,"[4, 8]"
1241,0,h,2,c,c,h,h,c,8,"[0, 2, 8]"
1242,c,h,2,c,h,5,h,7,c,"[2, 5, 7]"
1243,0,h,2,c,c,h,c,7,h,"[0, 2]"
1244,h,c,h,c,c,5,h,h,8,[5]
1245,h,1,c,c,c,h,h,c,h,[1]
1246,h,c,2,h,4,5,6,c,h,[4]
1247,c,h,h,c,4,c,h,7,h,[4]
1248,0,1,2,c,c,5,6,h,h,[5]
1249,h,h,2,3,h,c,6,c,c,"[2, 6]"
1250,h,c,2,3,4,5,6,7,8,"[3, 4, 6, 8]"
1251,0,1,c,h,c,h,h,c,8,[1]
1252,0,c,h,h,4,c,h,7,8,"[0, 4, 7, 8]"
1253,c,1,h,h,c,c,c,h,h,[1]
1254,h,h,c,h,c,h,6,c,c,[6]
1255,c,h,h,h,4,c,h,c,8,[4]
1256,c,h,c,c,c,h,h,h,8,[8]
1257,h,1,2,3,4,c,c,h,h,[4]
1258,0,1,2,c,h,5,c,7,h,[0]
1259,0,c,2,c,4,5,6,h,h,[6]
1260,h,c,c,3,c,h,h,7,h,[7]
1261,h,1,h,3,4,5,c,7,c,[7]
1262,c,c,2,h,4,5,h,h,8,[2]
1263,0,c,2,3,c,5,h,7,h,[7]
1264,c,1,c,3,4,h,h,h,c,"[1, 4]"
1265,0,1,h,c,h,c,6,7,8,[6]
1266,h,h,c,h,h,5,c,c,8,[8]
1267,c,1,h,h,c,c,h,c,h,[1]
1268,0,h,h,c,4,c,6,h,8,[4]
1269,0,h,c,h,4,c,c,7,h,[4]
1270,h,1,h,3,c,5,c,h,8,[1]
1271,c,h,2,h,h,5,c,c,8,[8]
1272,0,h,2,c,c,h,6,c,h,[2]
1273,c,h,2,3,4,h,6,7,8,[6]
1274,c,1,2,h,h,5,c,h,c,"[1, 2, 5]"
1275,c,c,h,h,4,c,h,h,c,[4]
1276,h,1,2,3,c,5,6,c,h,[1]
1277,c,1,2,3,h,h,c,c,h,[3]
1278,0,h,2,c,4,5,h,c,8,"[0, 2, 4, 5]"
1279,0,1,2,h,c,5,6,h,c,[0]
1280,h,h,2,c,4,h,6,c,c,[6]
1281,h,1,h,c,4,5,h,c,8,"[1, 4, 5, 8]"
1282,c,c,h,3,h,c,c,h,h,[3]
1283,0,h,2,3,4,c,h,c,h,"[0, 4]"
1284,0,c,c,3,h,5,h,h,8,[0]
1285,0,h,c,h,c,5,h,c,h,[0]
1286,0,h,2,3,4,c,6,h,8,[4]
1287,c,1,h,3,c,h,6,h,8,[8]
1288,0,1,h,3,4,h,6,c,c,[6]
1289,h,c,2,h,4,c,6,c,h,[4]
1290,0,h,2,3,h,h,6,c,c,[6]
1291,c,c,h,3,4,h,6,h,c,[4]
1292,c,c,2,c,4,h,h,7,h,[2]
1293,h,h,2,c,c,h,c,c,h,[2]
1294,0,1,2,c,h,5,h,h,c,"[0, 1, 2, 5]"
1295,0,1,h,h,4,c,c,c,h,"[0, 1, 4]"
1296,0,h,c,h,c,c,h,7,8,[8]
1297,h,1,2,c,4,c,6,7,h,[4]
1298,c,h,2,3,4,5,6,h,8,[4]
1299,0,c,2,3,h,5,h,h,c,[2]
1300,h,c,c,3,h,h,h,c,c,[3]
1301,h,1,c,h,4,5,6,7,c,[5]
1302,0,1,h,3,4,5,c,h,8,"[0, 1, 4]"
1303,h,1,c,h,h,c,c,h,8,[8]
1304,c,h,c,h,4,c,c,h,h,[4]
1305,0,1,h,c,c,h,6,h,8,[8]
1306,0,h,2,3,h,5,c,c,8,[8]
1307,0,c,2,h,4,5,6,h,c,"[0, 2]"
1308,0,h,c,3,c,5,6,h,8,[6]
1309,0,h,2,h,c,h,6,7,c,[0]
1310,0,c,c,3,h,5,c,h,h,[0]
1311,h,1,2,c,c,5,h,c,h,"[1, 5]"
1312,h,1,c,3,h,c,6,7,8,[8]
1313,c,h,2,c,c,5,6,h,h,"[5, 6]"
1314,0,h,2,c,4,c,h,7,h,[4]
1315,c,c,h,h,h,5,c,h,8,[5]
1316,h,1,2,c,c,5,6,h,8,[5]
1317,c,1,2,3,4,h,h,c,h,[2]
1318,h,h,c,3,h,5,6,c,8,[8]
1319,c,1,2,h,h,5,6,h,c,"[1, 2, 5, 6]"
1320,c,h,h,3,c,h,6,c,8,[8]
1321,h,1,h,c,4,c,h,7,c,[4]
1322,0,1,h,c,c,h,h,7,c,[0]
1323,c,h,2,c,h,5,h,c,8,[2]
1324,h,c,2,h,c,c,6,7,h,[7]
1325,c,1,c,3,h,5,h,h,c,"[1, 5]"
1326,h,c,2,3,h,c,6,h,c,[2]
1327,c,1,2,h,c,c,h,h,8,[8]
1328,0,1,c,3,4,5,c,h,h,[4]
1329,0,h,c,3,h,c,h,c,h,[0]
1330,0,h,2,3,c,5,h,7,c,[0]
1331,0,1,h,c,4,c,6,h,8,[4]
1332,h,c,h,h,4,c,c,h,8,"[4, 8]"
1333,0,h,h,c,4,c,h,c,h,[4]
1334,h,h,2,h,4,c,c,c,8,[8]
1335,0,1,2,3,4,5,c,h,8,"[0, 3, 4]"
1336,c,h,2,3,4,5,c,7,h,[3]
1337,c,h,c,h,4,c,h,7,h,[7]
1338,0,h,2,c,4,5,c,h,8,[0]
1339,0,1,2,3,c,5,6,7,h,"[0, 1, 2, 3, 5, 6, 7]"
1340,c,1,2,h,4,5,c,h,h,[2]
1341,h,h,2,3,4,5,c,c,h,"[2, 3, 4, 5]"
1342,0,h,2,c,c,5,6,7,h,[5]
1343,0,c,2,3,h,c,6,h,8,[2]
1344,0,h,c,3,4,5,6,7,8,"[4, 5, 8]"
1345,c,h,2,3,h,c,h,c,h,[2]
1346,0,1,c,c,h,h,6,h,8,[1]
1347,0,h,c,c,4,h,6,c,h,[6]
1348,h,1,2,3,4,5,6,c,h,[4]
1349,c,h,h,3,4,c,c,h,8,[3]
1350,h,1,h,h,c,5,c,c,h,[1]
1351,c,1,c,3,h,5,h,7,h,[1]
1352,h,1,c,3,c,5,h,7,h,"[1, 3, 5, 7]"
1353,0,c,c,h,4,h,c,7,h,"[0, 4]"
1354,h,1,c,c,h,h,h,c,c,[1]
1355,0,1,2,c,h,c,6,h,8,[1]
1356,c,1,2,3,h,c,h,h,c,[2]
1357,h,c,2,3,4,5,6,7,h,[4]
1358,0,1,2,3,4,5,h,7,8,[4]
1359,0,c,2,h,4,h,6,7,8,[4]
1360,0,1,2,h,4,h,c,7,8,[4]
1361,h,c,c,h,c,h,6,7,h,"[6, 7]"
1362,h,1,h,c,h,c,c,h,8,"[1, 8]"
1363,h,c,h,3,4,h,6,c,c,"[4, 6]"
1364,0,c,h,3,h,h,6,c,8,"[0, 3, 6, 8]"
1365,0,h,c,3,h,c,6,7,8,[8]
1366,c,h,c,h,c,h,h,c,8,[8]
1367,0,1,c,3,h,h,6,7,c,[3]
1368,0,h,c,c,h,c,h,c,h,[0]
1369,0,1,c,h,4,5,h,7,8,[0]
1370,h,c,c,c,h,h,6,7,8,[8]
1371,h,1,2,c,c,5,c,h,h,"[2, 5]"
1372,h,1,h,c,4,c,c,h,8,[4]
1373,h,c,h,3,c,h,c,h,c,[3]
1374,h,1,2,3,4,c,6,c,h,[4]
1375,h,c,c,h,4,c,c,h,h,[4]
1376,0,h,h,h,c,5,c,7,c,"[0, 7]"
1377,c,1,h,h,c,5,h,c,8,"[1, 8]"
1378,c,1,h,c,4,c,h,7,h,[4]
1379,0,c,2,3,4,h,6,7,8,"[2, 4]"
1380,0,h,h,c,h,h,c,7,c,"[0, 7]"
1381,0,h,2,c,4,5,6,h,8,[4]
1382,c,h,2,3,h,5,h,c,8,[2]
1383,c,h,2,3,h,5,c,7,h,[3]
1384,c,1,h,h,c,h,6,7,8,[8]
1385,0,c,c,h,4,5,6,h,8,[0]
1386,c,h,h,c,c,5,h,c,h,[5]
1387,h,h,c,h,4,h,c,c,8,"[4, 8]"
1388,0,c,2,c,4,5,h,h,8,[8]
1389,h,1,2,h,4,5,6,7,c,[6]
1390,h,1,h,c,c,5,h,7,c,[5]
1391,c,1,2,h,4,h,c,h,c,[4]
1392,0,c,h,h,4,5,6,7,8,[4]
1393,0,h,c,3,c,5,h,7,h,[7]
1394,0,c,2,3,c,h,h,7,h,[7]
1395,0,1,h,h,c,5,h,7,c,[0]
1396,h,c,h,c,4,c,h,c,h,[4]
1397,c,c,h,3,c,5,6,h,h,"[3, 5, 6]"
1398,0,h,c,h,c,c,h,7,h,"[0, 7]"
1399,h,1,2,3,c,5,6,7,h,"[1, 3, 5, 7]"
1400,0,h,c,3,c,h,h,c,8,"[0, 3, 8]"
1401,0,1,c,h,4,c,h,7,8,[8]
1402,c,1,2,h,h,c,c,7,h,"[1, 2, 7]"
1403,h,1,h,3,c,h,6,c,c,"[1, 6]"
1404,0,h,h,c,c,5,c,h,h,"[0, 5]"
1405,h,1,c,c,c,h,h,7,8,"[1, 7, 8]"
1406,0,c,h,h,c,h,6,7,8,[7]
1407,0,c,2,3,h,h,c,7,8,[3]
1408,h,h,2,c,c,h,c,h,c,[2]
1409,c,h,h,c,4,c,h,h,c,[4]
1410,c,1,2,h,c,5,6,7,h,"[1, 2]"
1411,0,c,h,3,h,5,6,c,8,[6]
1412,h,c,2,h,4,5,6,7,8,[6]
1413,c,1,c,h,4,h,6,h,8,[1]
1414,h,1,h,3,h,c,6,c,c,[6]
1415,0,c,h,3,h,5,c,h,8,"[0, 3, 5, 8]"
1416,c,1,h,h,4,c,h,7,8,[4]
1417,0,1,2,h,4,c,6,h,8,"[0, 6]"
1418,h,c,c,c,4,h,h,c,h,[4]
1419,h,1,h,c,h,h,c,c,8,[8]
1420,h,h,2,c,h,5,c,c,8,[8]
1421,c,h,h,h,h,5,6,c,c,[6]
1422,h,1,2,3,4,h,c,7,c,[7]
1423,0,c,h,h,h,c,c,h,8,"[0, 8]"
1424,c,h,c,h,c,h,6,7,h,[6]
1425,0,1,h,c,4,h,h,7,c,[4]
1426,0,1,h,3,4,c,6,h,8,[4]
1427,h,h,2,3,c,5,6,c,8,[2]
1428,h,1,2,c,c,5,6,h,h,[5]
1429,h,h,c,c,h,5,h,7,c,[5]
1430,0,h,h,h,c,5,6,c,c,"[0, 6]"
1431,h,c,2,3,h,5,6,c,8,[8]
1432,h,c,2,h,h,5,c,h,c,[5]
1433,0,h,2,3,c,5,h,c,h,"[0, 2, 3, 5]"
1434,h,1,h,3,c,c,h,c,h,"[1, 3]"
1435,0,1,c,3,4,5,h,7,8,"[0, 8]"
1436,h,c,h,c,4,h,h,c,c,[4]
1437,0,c,h,3,4,c,h,h,c,[4]
1438,c,h,h,h,4,c,6,c,8,[8]
1439,0,c,h,c,4,5,6,7,h,[5]
1440,0,1,2,3,4,5,6,c,h,"[0, 2, 4, 5]"
1441,0,1,h,h,c,h,6,c,c,"[0, 1, 6]"
1442,0,h,h,3,4,c,6,7,8,[0]
1443,0,h,h,c,c,h,c,h,c,[0]
1444,0,1,2,3,h,c,6,7,8,"[0, 1, 2, 6, 7, 8]"
1445,0,1,2,3,4,5,c,h,h,"[0, 3]"
1446,h,1,2,c,c,h,6,h,c,"[1, 2, 6]"
1447,c,h,c,3,h,h,h,7,c,"[3, 7]"
1448,0,h,2,3,h,5,c,7,8,[7]
1449,h,1,c,3,h,c,h,7,8,[8]
1450,0,h,2,c,c,5,6,h,8,[5]
1451,h,c,2,c,h,5,6,h,8,[8]
1452,h,1,h,c,4,5,6,7,c,[1]
1453,0,1,2,3,c,c,h,7,h,[3]
1454,0,h,c,3,4,5,6,7,h,"[4, 7]"
1455,c,c,h,h,4,c,c,h,h,[4]
1456,0,c,h,h,c,h,h,7,c,"[0, 7]"
1457,c,1,2,c,h,h,h,7,c,[2]
1458,0,1,c,c,c,h,6,h,h,[6]
1459,0,c,2,h,c,5,6,h,8,"[0, 2]"
1460,c,1,h,3,h,5,c,h,c,[3]
1461,h,1,h,h,h,c,c,7,c,[7]
1462,h,1,h,3,c,5,6,c,8,[1]
1463,0,1,c,h,4,h,c,7,8,[4]
1464,0,h,c,3,4,h,6,c,8,[6]
1465,h,h,c,3,c,5,h,c,8,[3]
1466,0,1,h,h,4,h,c,c,8,[8]
1467,0,1,h,3,4,h,c,7,8,[8]
1468,0,h,c,3,4,h,c,h,8,[4]
1469,c,1,c,3,c,h,6,h,h,"[1, 6]"
1470,0,1,h,h,c,c,6,7,8,"[0, 1, 6, 7]"
1471,0,c,h,c,c,5,h,7,h,"[5, 7]"
1472,c,c,2,h,h,5,6,7,h,[2]
1473,0,h,c,3,c,h,6,7,h,[6]
1474,c,c,h,h,4,c,h,c,h,[4]
1475,0,h,2,3,c,h,c,7,h,[2]
1476,h,1,2,3,h,h,6,c,c,[6]
1477,0,c,h,c,4,h,6,7,8,[8]
1478,0,1,c,h,h,c,6,7,h,[0]
1479,0,1,h,h,4,h,c,7,c,[7]
1480,c,h,c,c,h,5,h,7,8,[7]
1481,c,1,2,3,h,5,h,7,c,[2]
1482,0,c,2,h,c,h,c,h,h,[2]
1483,h,1,2,3,4,5,h,c,c,[3]
1484,h,c,2,3,4,5,6,h,8,"[6, 8]"
1485,0,1,h,h,4,5,6,c,8,[4]
1486,c,h,2,3,4,5,h,7,8,"[4, 7]"
1487,h,h,2,h,4,c,c,7,8,[2]
1488,h,c,h,h,4,c,6,7,8,[6]
1489,c,h,c,c,4,h,h,h,c,[4]
1490,0,h,h,h,c,c,h,c,c,[0]
1491,c,h,h,c,h,c,6,7,h,[6]
1492,0,c,2,h,4,5,h,c,8,[4]
1493,h,c,c,3,4,h,6,h,c,"[3, 4, 6]"
1494,h,1,2,3,c,h,c,7,8,[2]
1495,0,h,c,h,4,5,h,7,c,[5]
1496,0,h,h,3,c,5,c,7,8,[0]
1497,0,1,h,3,c,5,6,c,h,[1]
1498,h,c,2,c,c,h,6,7,h,[7]
1499,0,h,h,3,h,c,6,c,8,"[0, 3, 6, 8]"
1500,0,1,c,c,4,h,6,7,h,"[0, 6]"
1501,c,h,h,h,c,h,c,c,8,[8]
1502,c,h,2,c,c,5,h,7,h,[5]
1503,0,c,h,h,h,c,c,c,h,[0]
1504,h,h,c,3,4,c,h,c,h,"[3, 4]"
1505,0,h,2,c,h,5,6,7,8,[7]
1506,h,1,2,c,c,5,h,7,8,[5]
1507,h,c,c,h,4,5,c,7,h,[4]
1508,0,c,h,c,4,h,h,h,c,[4]
1509,0,c,2,3,4,h,6,7,h,[2]
1510,0,1,2,3,c,h,c,7,h,[2]
1511,0,c,2,3,h,5,h,c,h,"[0, 2, 3, 5]"
1512,c,c,h,c,4,h,h,h,c,[4]
1513,c,1,h,3,h,h,c,7,c,"[3, 7]"
1514,0,1,2,3,h,h,c,7,8,[3]
1515,c,1,c,3,h,h,6,h,c,[1]
1516,c,h,h,h,h,c,c,7,c,[7]
1517,h,1,2,h,c,c,6,c,h,[1]
1518,0,h,2,c,h,c,h,c,h,"[0, 2]"
1519,0,c,c,h,4,5,6,h,h,[0]
1520,0,c,2,h,4,h,c,7,8,[4]
1521,h,c,2,c,h,c,h,h,8,"[2, 8]"
1522,0,1,h,3,4,5,h,c,8,[4]
1523,0,h,2,3,c,5,6,h,8,"[0, 2, 3, 5, 6, 8]"
1524,h,h,c,c,h,h,6,c,8,[8]
1525,0,h,c,3,c,5,6,7,h,[6]
1526,0,1,c,3,h,c,6,h,h,"[0, 1, 3, 6]"
1527,0,h,c,h,h,5,h,c,c,[5]
1528,0,h,2,3,c,h,6,c,h,[2]
1529,0,1,2,3,4,h,6,c,8,"[4, 8]"
1530,h,1,h,c,4,c,6,7,8,[4]
1531,h,1,h,3,h,5,c,7,c,[7]
1532,0,h,c,h,c,c,h,h,8,[8]
1533,0,1,c,h,4,c,h,7,h,"[0, 1, 4, 7]"
1534,0,h,c,3,c,h,h,c,h,"[0, 3]"
1535,0,c,2,3,h,h,c,7,h,"[0, 2, 3, 7]"
1536,0,c,h,3,4,c,6,7,h,[4]
1537,0,c,c,3,h,h,h,h,c,[0]
1538,0,1,h,3,h,5,c,7,8,"[0, 8]"
1539,h,h,c,c,4,h,c,h,c,[4]
1540,h,1,2,3,c,h,6,7,8,"[1, 2, 7, 8]"
1541,h,c,c,h,c,h,6,h,c,[6]
1542,h,c,2,3,4,5,6,c,h,[4]
1543,c,c,h,3,4,h,h,7,c,[4]
1544,0,1,c,c,h,c,6,h,h,"[0, 1, 6]"
1545,0,c,2,c,h,h,c,h,8,[0]
1546,0,h,2,h,c,h,c,7,8,[2]
1547,h,1,2,3,h,5,6,7,c,"[2, 6]"
1548,h,h,c,3,c,h,6,c,8,[6]
1549,c,1,2,c,c,h,6,h,h,[6]
1550,h,h,2,3,4,c,6,c,8,[2]
1551,c,1,2,h,4,c,6,h,8,"[2, 8]"
1552,h,1,2,c,4,5,6,7,8,"[1, 2, 4, 8]"
1553,h,c,h,3,4,h,c,7,8,[8]
1554,h,c,h,h,c,h,6,7,c,[7]
1555,c,h,h,3,4,h,c,7,8,[3]
1556,h,1,2,h,c,5,6,7,8,[6]
1557,c,h,2,h,c,c,h,c,h,[2]
